ALEX,Alexander & Baldwin Inc,2022-04-27,2022-03-31,0.1,USD
ALG,Alamo Group Inc,2022-05-03,2022-03-31,1.71,USD
ALGM,Allegro Microsystems Inc,2022-05-10,2022-03-31,0.21,USD
ALGN,Align Technology Inc,2022-04-27,2022-03-31,2.23,USD
ALGS,Aligos Therapeutics Inc,2022-05-09,2022-03-31,-0.73,USD
ALGT,Allegiant Travel,2022-05-02,2022-03-31,0.07,USD
ALHC,Alignment Healthcare Inc,2022-05-16,2022-03-31,-0.25,USD
ALIM,Alimera Sciences Inc,2022-04-26,2022-03-31,-0.69,USD
ALJJ,Alj Regional Holdings Inc,2022-05-10,2022-03-31,,USD
ALK,Alaska Air Group Inc,2022-04-21,2022-03-31,-1.5,USD
ALKS,Alkermes plc,2022-04-26,2022-03-31,0.01,USD
ALKT,Alkami Technology Inc,2022-05-09,2022-03-31,-0.06,USD
ALL,Allstate Corp (The),2022-05-04,2022-03-31,3.18,USD
ALLE,Allegion plc,2022-04-26,2022-03-31,0.97,USD
ALLK,Allakos Inc,2022-05-09,2022-03-31,-1.95,USD
ALLO,Allogene Therapeutics Inc,2022-05-03,2022-03-31,-0.58,USD
ALLT,Allot Ltd,2022-05-09,2022-03-31,-0.22,USD
ALLXF,ALLXF,2022-05-09,2022-03-31,,USD
ALNA,Allena Pharmaceuticals Inc,2022-05-09,2022-03-31,-0.14,USD
ALNY,Alnylam Pharmaceuticals Inc,2022-04-28,2022-03-31,-1.78,USD
ALOT,AstroNova Inc,2022-06-08,2022-04-30,,USD
ALPN,Alpine Immune Sciences Inc,2022-05-11,2022-03-31,-0.19,USD
ALR,AlerisLife Inc,2022-05-03,2022-03-31,-0.11,USD
ALRM,Alarm.com Holdings Inc,2022-05-02,2022-03-31,0.33,USD
ALRN,Aileron Therapeutics Inc,2022-05-09,2022-03-31,-0.08,USD
ALRS,Alerus Financial Corp,2022-04-27,2022-03-31,0.54,USD
ALSK,ALSK,2022-05-04,2022-03-31,,USD
ALSN,Allison Transmission Holdings Inc,2022-04-27,2022-03-31,1.14,USD
ALT,Altimmune Inc,2022-05-16,2022-03-31,-0.58,USD
ALTA,ALTA,2022-04-26,2022-03-31,,USD
ALTG,Alta Equipment Group Inc - Class A,2022-05-11,2022-03-31,-0.07,USD
ALTO,Alto Ingredients Inc,2022-05-10,2022-03-31,0.14,USD
ALTR,Altair Engineering Inc - Class A,2022-05-04,2022-03-31,0.3,USD
ALV,Autoliv Inc,2022-04-22,2022-03-31,1.13,USD
ALV,Autoliv Inc,2022-07-14,2022-06-30,,USD
ALVOD,ALVOD,2022-05-10,2022-03-31,,USD
ALVOF,ALVOF,2022-05-10,2022-03-31,,USD
ALVR,AlloVir Inc,2022-05-04,2022-03-31,-0.8,USD
ALX,Alexander`s Inc,2022-05-02,2022-03-31,,USD
ALXN,ALXN,2022-04-28,2022-03-31,,USD
ALXO,Alx Oncology Holdings Inc,2022-05-16,2022-03-31,-0.71,USD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2022-06-08,2022-03-31,,USD
AM,Antero Midstream Corp,2022-04-27,2022-03-31,0.2,USD
AMAL,Amalgamated Financial Corp,2022-04-28,2022-03-31,0.39,USD
AMAT,Applied Materials Inc,2022-05-19,2022-04-30,1.91,USD
AMBA,Ambarella Inc,2022-05-30,2022-04-30,0.36,USD
AMBC,AMBAC Financial Group Inc,2022-05-04,2022-03-31,-0.72,USD
AMBZ,AMBZ,2022-04-27,2022-03-31,,USD
AMC,AMC Entertainment Holdings Inc - Class A,2022-05-04,2022-03-31,-0.55,USD
AMCR,Amcor Plc,2022-05-02,2022-03-31,0.2,USD
AMCX,AMC Networks Inc - Class A,2022-05-05,2022-03-31,2.64,USD
